p cnf 30 90
3 2
3 1
2 1
6 5
6 4
5 4
9 8
9 7
8 7
12 11
12 10
11 10
13 1 -4
13 -1 4
-13 1 4
-13 -1 -4
14 2 -5
14 -2 5
-14 2 5
-14 -2 -5
15 3 -6
15 -3 6
-15 3 6
-15 -3 -6
16 1 -7
16 -1 7
-16 1 7
-16 -1 -7
17 2 -8
17 -2 8
-17 2 8
-17 -2 -8
18 3 -9
18 -3 9
-18 3 9
-18 -3 -9
19 1 -10
19 -1 10
-19 1 10
-19 -1 -10
20 2 -11
20 -2 11
-20 2 11
-20 -2 -11
21 3 -12
21 -3 12
-21 3 12
-21 -3 -12
22 4 -7
22 -4 7
-22 4 7
-22 -4 -7
23 5 -8
23 -5 8
-23 5 8
-23 -5 -8
24 6 -9
24 -6 9
-24 6 9
-24 -6 -9
25 4 -10
25 -4 10
-25 4 10
-25 -4 -10
26 5 -11
26 -5 11
-26 5 11
-26 -5 -11
27 6 -12
27 -6 12
-27 6 12
-27 -6 -12
28 7 -10
28 -7 10
-28 7 10
-28 -7 -10
29 8 -11
29 -8 11
-29 8 11
-29 -8 -11
30 9 -12
30 -9 12
-30 9 12
-30 -9 -12
15 14 13
18 17 16
21 20 19
24 23 22
27 26 25
30 29 28
